,correlation
feedback_rating,0.6928238138010923
sentiment_score,0.3216623695438478
room_spend,0.22353722184884547
room_bookings,0.21370975734651906
total_spend,0.19474545376698066
prefecture_13,-0.09428693119957739
pool_uses,0.09349392789679455
prefecture_23,0.09234929288546159
breakfast_uses,0.09077703091634301
gender_F,-0.06666671934079016
gender_M,0.06666671934079006
prefecture_27,0.0442307377740085
restaurant_spend,-0.039785133424061876
restaurant_visits,-0.034988221858655584
age,-0.025159285988622892
prefecture_40,-0.0219001766455914
prefecture_1,-0.02044958256293547
