age,feedback_rating,sentiment_score,total_spend,room_bookings,room_spend,restaurant_visits,restaurant_spend,pool_uses,breakfast_uses,gender_F,gender_M,prefecture_1,prefecture_13,prefecture_23,prefecture_27,prefecture_40,target
33,5,-1,14000,1,14000,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
29,3,0,60884,5,50000,2,10884,1,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
68,5,0,76619,5,66000,2,10619,2,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8
59,1,-1,65905,4,50000,3,15905,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
52,2,-1,39601,1,24000,3,15601,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
60,1,-1,42488,2,31000,2,11488,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
19,4,0,40253,2,35000,1,5253,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6
21,3,1,33741,2,27000,1,6741,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
44,5,-1,51660,4,45000,1,6660,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9
52,1,1,32855,1,21000,2,11855,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5
43,1,0,47234,2,36000,2,11234,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
51,5,1,20000,2,20000,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9
51,4,0,54619,4,48000,1,6619,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
63,1,0,47220,2,31000,3,16220,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
71,5,0,47000,4,47000,0,0,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
64,4,1,58716,4,47000,2,11716,0,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10
