Id,CID,年齢,性別,都道府県,評価フィードバック,感情分析結果,購入総額,部屋予約回数,部屋利用総額,レストラン利用回数,レストラン利用総額,プール利用回数,朝食利用回数
86,c_044801,16,F,1,1,1,34217,1,23000,2,11217,0,1
123,c_601831,17,M,40,1,1,38693,2,33000,1,5693,1,0
195,c_067519,33,M,27,1,0,52838,4,41000,2,11838,1,1
464,c_089552,47,F,27,1,0,44665,1,29000,3,15665,0,0
551,c_260797,55,M,1,5,0,54322,4,48000,1,6322,2,0
683,c_782942,62,M,40,4,1,42226,2,32000,2,10226,0,0
748,c_332207,67,F,1,5,0,64690,4,48000,3,16690,1,0
857,c_638874,37,M,27,4,-1,82219,5,57000,5,25219,4,1
899,c_519618,60,M,13,5,-1,65727,5,59000,1,6727,2,1
944,c_189313,64,M,23,5,-1,26000,2,26000,0,0,1,0
