id,customer_id,age,gender,prefecture,feedback_rating,sentiment_score,total_spend,room_bookings,room_spend,restaurant_visits,restaurant_spend,pool_uses,breakfast_uses,target
1,c_455841,29,M,23,1,1,64288,4,59000,1,5288,2,0,7
2,c_119482,40,M,40,5,1,66830,4,56000,2,10830,3,0,10
3,c_619062,22,F,40,3,-1,76421,5,65000,2,11421,1,0,10
4,c_885088,38,M,23,2,-1,19908,1,14000,1,5908,0,0,7
5,c_260773,40,M,13,5,0,53666,2,32000,4,21666,0,0,7
6,c_456102,32,F,13,4,1,60140,3,49000,2,11140,0,3,9
7,c_317364,16,M,1,2,1,56000,5,56000,0,0,4,1,7
8,c_506379,37,M,13,4,1,26536,1,11000,3,15536,0,0,9
9,c_244171,40,F,27,2,-1,76475,5,70000,1,6475,2,2,7
10,c_676628,59,F,13,3,1,60275,3,44000,3,16275,0,1,8
11,c_650887,68,M,1,5,0,57578,5,52000,1,5578,3,1,8
12,c_589338,28,M,1,5,-1,30539,1,25000,1,5539,1,0,5
13,c_089352,18,F,1,4,1,28751,1,18000,2,10751,0,0,8
14,c_363882,30,M,40,2,0,68782,4,53000,3,15782,1,0,4
15,c_321580,44,F,23,2,0,18769,1,13000,1,5769,0,1,2
16,c_433076,49,M,1,5,1,46000,4,46000,0,0,0,1,10
17,c_390616,64,M,27,1,1,34000,3,34000,0,0,0,1,4
18,c_172304,51,M,23,3,0,31230,2,26000,1,5230,0,0,4
19,c_051384,22,M,27,4,0,50423,3,39000,2,11423,1,1,6
20,c_305766,27,F,13,1,0,75127,5,65000,2,10127,1,5,3
21,c_253932,32,M,27,5,-1,67475,4,57000,2,10475,4,1,10
22,c_330614,40,F,13,1,0,47146,2,31000,3,16146,0,1,2
23,c_538665,42,F,23,1,0,58269,3,48000,2,10269,0,0,3
24,c_538588,62,F,13,1,0,76278,5,60000,3,16278,1,0,3
25,c_073854,60,F,13,3,1,25923,1,20000,1,5923,0,1,7
26,c_400478,38,M,1,4,0,53821,3,33000,4,20821,0,0,6
27,c_711751,68,F,40,1,-1,66167,5,60000,1,6167,1,3,6
28,c_626561,52,F,1,2,-1,69662,5,53000,3,16662,2,3,4
29,c_821599,49,M,27,2,0,44181,2,38000,1,6181,2,0,4
30,c_617682,71,M,27,2,1,47313,4,41000,1,6313,3,1,6
31,c_227870,47,F,23,5,-1,38128,1,27000,2,11128,0,1,8
32,c_617550,15,M,27,4,-1,17000,1,17000,0,0,1,0,6
33,c_116215,36,M,23,4,0,64762,4,54000,2,10762,2,1,7
34,c_582581,48,M,1,3,-1,35515,3,30000,1,5515,1,0,3
35,c_504723,57,M,40,3,0,50000,5,50000,0,0,2,0,5
36,c_320577,54,M,23,2,-1,40744,2,35000,1,5744,2,0,2
37,c_527366,68,M,23,4,0,19000,1,19000,0,0,1,0,5
38,c_884302,56,M,1,1,0,49000,4,49000,0,0,4,1,3
39,c_898796,20,M,1,1,0,31000,3,31000,0,0,3,0,2
40,c_872746,71,F,27,2,-1,54478,3,38000,3,16478,1,3,4
41,c_732934,45,F,40,5,0,36625,2,26000,2,10625,0,2,7
42,c_673830,61,F,13,1,1,44312,2,29000,3,15312,0,2,5
43,c_304898,21,M,1,2,0,46581,4,40000,1,6581,4,1,4
44,c_005348,65,M,13,1,0,44000,3,44000,0,0,2,0,3
45,c_445163,57,M,27,3,0,58795,4,53000,1,5795,4,1,5
46,c_170927,15,M,1,4,-1,40000,3,40000,0,0,3,0,8
47,c_609595,66,F,1,3,-1,56226,3,46000,2,10226,0,1,4
48,c_716817,43,M,23,4,1,78682,5,68000,2,10682,1,0,10
49,c_732387,46,M,13,2,0,40000,3,40000,0,0,2,1,4
50,c_392012,48,M,27,3,1,37008,3,31000,1,6008,0,1,7
51,c_226305,72,M,13,5,0,20000,2,20000,0,0,2,0,6
52,c_699359,68,F,1,2,1,36011,2,21000,3,15011,1,0,5
53,c_645021,59,F,40,1,-1,65905,4,50000,3,15905,0,4,4
54,c_584860,59,F,1,3,0,57799,3,41000,3,16799,0,1,5
55,c_169940,30,M,27,2,-1,62153,5,51000,2,11153,4,0,8
56,c_779657,28,M,1,4,0,35868,2,30000,1,5868,1,0,6
57,c_833170,20,F,1,2,1,61207,4,55000,1,6207,2,4,8
58,c_317868,37,M,1,5,1,56277,4,46000,2,10277,2,0,10
59,c_543759,21,F,13,5,1,35650,2,29000,1,6650,1,1,9
60,c_165743,54,M,27,2,0,42000,3,42000,0,0,2,0,4
61,c_890438,68,F,13,2,1,46814,2,31000,3,15814,0,2,7
62,c_036658,53,M,13,2,-1,86786,5,70000,3,16786,0,1,6
63,c_384215,66,M,27,2,1,25000,2,25000,0,0,1,0,7
64,c_328149,45,M,27,3,-1,40865,2,25000,3,15865,1,0,5
65,c_136980,65,F,1,1,-1,46881,2,30000,3,16881,0,0,2
66,c_329109,44,M,40,5,-1,23233,1,12000,2,11233,0,0,6
67,c_281397,15,M,1,4,-1,60000,4,60000,0,0,1,1,9
68,c_339566,55,F,1,3,-1,35735,1,19000,3,16735,0,1,6
69,c_710566,45,F,27,3,0,55866,3,44000,2,11866,0,3,5
70,c_814444,33,F,27,5,1,45799,2,30000,3,15799,0,1,10
71,c_488716,61,F,27,5,0,55949,3,40000,3,15949,1,0,7
72,c_038634,46,M,1,4,1,59000,5,59000,0,0,4,0,10
73,c_736901,72,M,13,1,-1,29487,2,24000,1,5487,1,0,3
74,c_171215,54,M,1,1,1,13000,1,13000,0,0,0,0,5
75,c_685733,60,F,13,1,0,25887,1,10000,3,15887,0,0,1
76,c_444503,45,F,23,3,-1,57761,4,52000,1,5761,0,0,6
77,c_604778,57,M,40,2,1,37360,3,32000,1,5360,2,0,7
78,c_310513,29,F,40,1,0,52587,3,47000,1,5587,0,2,3
79,c_232780,30,F,40,4,0,39079,2,33000,1,6079,0,0,6
80,c_580374,68,F,23,5,-1,78977,5,67000,2,11977,2,2,10
81,c_403159,32,M,13,4,0,27922,2,22000,1,5922,1,0,5
82,c_681184,59,F,40,4,0,65829,4,49000,3,16829,0,4,6
83,c_043553,67,M,23,5,1,40000,4,40000,0,0,1,0,10
84,c_610338,42,M,40,4,0,71530,5,51000,4,20530,0,0,6
85,c_606508,42,F,1,5,1,53451,4,47000,1,6451,0,4,10
86,c_044801,16,F,1,1,1,34217,1,23000,2,11217,0,1,5
87,c_851057,32,F,13,4,1,69466,5,54000,3,15466,1,4,9
88,c_009906,28,M,27,3,1,42029,2,31000,2,11029,1,0,7
89,c_866305,56,M,23,1,1,68934,4,58000,2,10934,3,1,6
90,c_435029,64,M,27,1,1,75596,5,70000,1,5596,2,1,7
