id,customer_id,age,gender,prefecture,feedback_rating,sentiment_score,total_spend,room_bookings,room_spend,restaurant_visits,restaurant_spend,pool_uses,breakfast_uses,target
172,c_726221,33,M,23,5,-1,14000,1,14000,0,0,1,0,8
685,c_743513,29,F,23,3,0,60884,5,50000,2,10884,1,4,5
143,c_488518,68,F,13,5,0,76619,5,66000,2,10619,2,5,8
53,c_645021,59,F,40,1,-1,65905,4,50000,3,15905,0,4,4
219,c_663542,52,F,27,2,-1,39601,1,24000,3,15601,0,0,4
699,c_508693,60,F,40,1,-1,42488,2,31000,2,11488,1,2,4
146,c_470043,19,F,27,4,0,40253,2,35000,1,5253,0,1,6
539,c_725917,21,M,27,3,1,33741,2,27000,1,6741,0,0,6
135,c_022883,44,F,13,5,-1,51660,4,45000,1,6660,1,1,9
255,c_625707,52,F,1,1,1,32855,1,21000,2,11855,0,1,5
726,c_647614,43,M,40,1,0,47234,2,36000,2,11234,1,0,2
217,c_789433,51,M,13,5,1,20000,2,20000,0,0,0,0,9
495,c_237857,51,M,27,4,0,54619,4,48000,1,6619,2,0,6
743,c_228405,63,F,23,1,0,47220,2,31000,3,16220,0,1,2
830,c_007273,71,M,23,5,0,47000,4,47000,0,0,4,1,8
511,c_783000,64,F,13,4,1,58716,4,47000,2,11716,0,4,10
476,c_376347,70,M,13,5,0,46714,3,41000,1,5714,0,1,7
926,c_308765,15,F,23,4,1,17234,1,12000,1,5234,0,1,7
888,c_842448,33,F,1,3,1,24122,1,14000,2,10122,0,0,7
336,c_048626,62,F,40,3,0,26798,1,20000,1,6798,0,1,4
85,c_606508,42,F,1,5,1,53451,4,47000,1,6451,0,4,10
619,c_124610,61,M,27,5,0,25000,2,25000,0,0,0,0,7
645,c_320232,67,F,23,5,-1,61750,4,46000,3,15750,2,1,8
274,c_230707,32,F,1,3,1,33643,2,22000,2,11643,0,1,7
816,c_515786,42,M,27,4,1,44550,1,28000,3,16550,0,0,8
333,c_827070,34,F,23,4,1,73188,5,63000,2,10188,2,2,10
787,c_886223,51,M,27,5,1,18000,1,18000,0,0,0,0,10
668,c_041294,66,M,40,3,1,51495,4,46000,1,5495,2,1,8
797,c_499807,49,M,13,3,1,27000,1,27000,0,0,1,0,7
849,c_177674,44,F,13,4,-1,71668,4,56000,3,15668,0,1,8
738,c_639830,21,M,40,2,0,17000,1,17000,0,0,1,0,3
769,c_385199,19,M,23,2,0,25221,1,15000,2,10221,1,0,3
388,c_477405,23,F,40,3,1,48614,2,37000,2,11614,1,0,7
263,c_118886,18,M,23,3,-1,60000,4,60000,0,0,1,1,7
223,c_069163,39,M,13,4,-1,66202,5,61000,1,5202,3,0,5
357,c_574837,70,M,23,3,0,69000,5,69000,0,0,5,1,6
117,c_467586,28,M,23,3,0,42193,3,32000,2,10193,0,0,4
510,c_354154,65,F,23,4,-1,58769,4,48000,2,10769,1,4,8
56,c_779657,28,M,1,4,0,35868,2,30000,1,5868,1,0,6
990,c_703322,72,M,23,5,1,50000,3,50000,0,0,3,1,10
188,c_001653,66,F,13,5,0,68252,4,53000,3,15252,0,3,8
359,c_509280,49,M,27,5,0,28000,2,28000,0,0,2,0,7
764,c_232635,67,F,27,2,1,59384,4,43000,3,16384,2,3,7
525,c_111224,32,M,13,3,-1,37958,1,26000,2,11958,0,0,4
917,c_773441,48,M,27,3,1,31868,1,25000,1,6868,1,0,7
993,c_136572,46,F,40,3,-1,30590,1,14000,3,16590,0,0,6
479,c_675932,15,F,23,5,1,12000,1,12000,0,0,0,1,9
771,c_643809,61,M,13,4,0,45000,3,45000,0,0,3,0,6
831,c_600485,71,F,13,2,1,56379,3,41000,3,15379,1,2,6
47,c_609595,66,F,1,3,-1,56226,3,46000,2,10226,0,1,4
366,c_051506,54,F,23,4,0,46291,2,30000,3,16291,1,1,6
629,c_611664,34,M,13,3,-1,69950,5,58000,2,11950,3,1,10
572,c_684425,59,M,27,2,1,50000,3,50000,0,0,2,0,7
77,c_604778,57,M,40,2,1,37360,3,32000,1,5360,2,0,7
59,c_543759,21,F,13,5,1,35650,2,29000,1,6650,1,1,9
28,c_626561,52,F,1,2,-1,69662,5,53000,3,16662,2,3,4
283,c_697796,19,M,40,5,-1,57000,4,57000,0,0,0,1,7
543,c_711770,38,F,1,2,-1,62644,4,51000,2,11644,1,0,4
321,c_102563,54,M,27,1,-1,58000,4,58000,0,0,2,0,1
193,c_558171,45,M,23,5,1,33983,2,22000,2,11983,2,0,9
845,c_229828,15,M,40,3,0,22000,2,22000,0,0,1,0,4
460,c_423192,60,F,40,4,-1,45899,3,30000,3,15899,1,3,9
991,c_589895,45,M,40,5,1,70495,4,59000,2,11495,1,1,10
132,c_196816,33,M,23,5,1,38626,3,33000,1,5626,3,0,10
553,c_292983,23,M,13,3,1,40000,3,40000,0,0,1,1,8
207,c_715049,44,F,27,5,1,67087,5,52000,3,15087,0,5,10
199,c_739119,59,F,27,2,0,83064,5,67000,3,16064,0,0,5
380,c_073797,59,M,27,4,-1,74867,5,68000,1,6867,3,0,10
317,c_446764,58,M,40,4,-1,15791,1,10000,1,5791,0,0,8
522,c_682883,33,M,27,3,1,79237,5,64000,3,15237,0,0,9
784,c_214147,28,F,27,4,0,35357,1,25000,2,10357,0,0,5
420,c_178229,18,M,40,4,0,56443,4,50000,1,6443,2,1,6
617,c_249921,46,M,40,1,0,24686,1,18000,1,6686,1,0,1
852,c_541733,18,F,27,5,0,41000,3,41000,0,0,1,1,7
57,c_833170,20,F,1,2,1,61207,4,55000,1,6207,2,4,8
873,c_352780,47,F,27,3,0,41017,3,30000,2,11017,0,0,4
937,c_009502,47,M,1,1,-1,63000,5,63000,0,0,1,1,6
147,c_071772,62,M,13,5,-1,53000,4,53000,0,0,1,1,9
518,c_837977,55,M,40,2,0,57000,5,57000,0,0,0,0,4
418,c_258648,56,F,13,1,1,33756,1,22000,2,11756,0,1,4
447,c_858929,30,F,13,5,1,59529,3,48000,2,11529,0,2,10
774,c_570980,37,M,13,1,-1,74549,5,63000,2,11549,2,1,5
893,c_707449,50,F,27,2,1,67788,4,57000,2,10788,1,0,8
468,c_067813,35,F,23,3,0,56867,4,40000,3,16867,1,1,5
675,c_624626,32,M,23,3,-1,61487,3,46000,3,15487,0,0,6
190,c_805094,33,M,13,2,0,44149,3,38000,1,6149,2,1,4
705,c_589028,40,F,23,3,-1,27341,1,21000,1,6341,0,0,7
945,c_736421,54,M,23,2,0,22000,2,22000,0,0,1,0,3
208,c_118462,15,F,1,2,1,49000,4,49000,0,0,2,0,8
636,c_852759,67,F,40,1,-1,25621,1,10000,3,15621,0,0,0
714,c_450407,51,M,1,5,1,39000,2,39000,0,0,2,0,9
581,c_089599,20,F,1,2,0,34939,2,24000,2,10939,1,2,3
621,c_678850,21,M,1,1,-1,28729,1,23000,1,5729,1,0,5
387,c_647142,38,F,23,5,-1,41528,2,35000,1,6528,0,1,10
330,c_333756,64,M,13,4,0,32000,2,32000,0,0,2,0,6
808,c_631719,66,M,40,3,1,26298,2,20000,1,6298,1,0,7
332,c_390017,30,F,40,3,1,71253,4,60000,2,11253,0,0,8
275,c_886680,45,F,40,4,1,32487,1,21000,2,11487,0,1,8
962,c_440537,54,F,27,3,0,58876,4,48000,2,10876,2,0,5
762,c_641456,24,M,27,1,-1,36049,1,25000,2,11049,1,0,4
45,c_445163,57,M,27,3,0,58795,4,53000,1,5795,4,1,5
385,c_494223,28,F,27,2,1,70126,4,54000,3,16126,2,4,8
55,c_169940,30,M,27,2,-1,62153,5,51000,2,11153,4,0,8
299,c_578052,57,M,40,1,0,51000,4,51000,0,0,3,1,3
119,c_535242,67,M,23,2,-1,18350,1,12000,1,6350,0,0,6
827,c_159456,57,M,23,5,1,14000,1,14000,0,0,1,0,8
164,c_003154,72,M,13,1,0,63000,5,63000,0,0,0,0,3
730,c_544192,41,M,23,4,-1,57514,4,46000,2,11514,2,0,7
3,c_619062,22,F,40,3,-1,76421,5,65000,2,11421,1,0,10
693,c_738309,63,M,13,3,1,56000,4,56000,0,0,2,1,9
620,c_642850,62,F,1,4,-1,49387,2,34000,3,15387,1,2,7
928,c_070742,40,M,27,5,-1,70985,5,64000,1,6985,2,1,8
596,c_363027,69,M,1,1,1,34000,2,34000,0,0,2,0,4
696,c_883233,45,M,40,2,1,75926,4,60000,3,15926,3,1,7
663,c_450061,39,F,27,5,0,48297,3,37000,2,11297,0,2,7
562,c_115335,25,M,23,2,1,60341,3,45000,3,15341,2,1,7
293,c_789848,26,M,1,3,-1,65520,3,49000,3,16520,0,0,8
425,c_791843,49,F,40,5,-1,55042,3,40000,3,15042,0,2,10
557,c_146044,42,F,13,3,-1,40845,3,30000,2,10845,0,0,7
665,c_852596,17,F,40,1,1,21582,1,11000,2,10582,0,0,5
161,c_772463,55,M,23,3,1,52000,4,52000,0,0,4,1,8
513,c_545657,24,F,40,5,-1,54787,3,49000,1,5787,0,0,8
229,c_607228,24,F,1,3,0,71958,5,55000,3,16958,0,0,5
237,c_425257,29,F,27,5,0,40261,1,24000,3,16261,0,0,7
815,c_892839,26,F,40,3,1,72770,4,57000,3,15770,1,4,9
887,c_839067,49,F,23,4,1,56063,4,40000,3,16063,1,2,9
376,c_011821,27,F,27,2,0,37863,3,31000,1,6863,0,2,3
612,c_390695,46,F,23,4,1,53561,3,38000,3,15561,1,2,9
490,c_680413,61,M,13,3,0,46881,2,40000,1,6881,0,0,5
220,c_476678,62,F,13,1,0,40020,1,25000,3,15020,0,1,2
213,c_174175,27,F,13,2,0,35930,2,24000,2,11930,0,2,3
710,c_840348,36,F,27,4,0,63718,4,52000,2,11718,1,4,7
358,c_010182,49,F,1,5,1,39526,1,28000,2,11526,0,1,10
424,c_390985,31,F,27,3,0,50297,4,40000,2,10297,2,4,5
538,c_772051,45,M,13,3,-1,52540,3,37000,3,15540,0,0,7
122,c_893292,36,F,1,2,-1,40473,1,30000,2,10473,0,0,7
218,c_218539,63,M,27,1,0,52837,4,47000,1,5837,4,0,3
284,c_821902,64,F,23,2,-1,51230,3,36000,3,15230,1,0,6
311,c_457266,65,F,13,5,-1,58729,3,43000,3,15729,0,0,8
871,c_891932,65,F,27,2,-1,74484,5,64000,2,10484,1,1,5
659,c_003457,25,F,27,5,0,38313,1,28000,2,10313,0,1,7
940,c_135300,36,F,1,3,1,20231,1,14000,1,6231,0,0,6
855,c_842905,55,F,27,2,-1,31190,1,15000,3,16190,0,0,2
927,c_218493,69,F,13,3,-1,76749,5,61000,3,15749,2,0,4
973,c_420353,18,M,13,4,0,41480,3,36000,1,5480,3,1,6
167,c_589702,72,M,40,5,1,36000,2,36000,0,0,0,0,10
826,c_291678,16,M,13,3,0,14000,1,14000,0,0,1,0,4
2,c_119482,40,M,40,5,1,66830,4,56000,2,10830,3,0,10
694,c_878091,30,M,27,2,1,40088,2,25000,3,15088,2,0,7
323,c_080606,44,M,40,4,0,35923,2,20000,3,15923,2,0,5
524,c_626872,41,M,13,2,-1,37295,1,26000,2,11295,1,0,5
688,c_896508,66,M,13,1,-1,59000,4,59000,0,0,1,0,2
411,c_453649,19,M,13,4,1,29000,1,29000,0,0,0,0,9
277,c_651044,54,M,13,2,0,28000,2,28000,0,0,1,0,3
489,c_782179,30,M,40,2,1,37942,1,26000,2,11942,1,0,5
360,c_670876,31,F,40,4,-1,54919,3,49000,1,5919,1,1,6
347,c_294179,69,M,1,3,0,31000,2,31000,0,0,1,0,4
173,c_063348,29,M,40,4,1,19859,1,13000,1,6859,0,0,8
421,c_229507,47,M,1,1,1,54000,5,54000,0,0,4,1,5
925,c_378519,45,F,23,1,-1,54525,4,44000,2,10525,1,1,2
706,c_476740,68,F,40,2,1,71036,5,55000,3,16036,2,0,8
722,c_474297,30,M,27,3,0,30557,2,20000,2,10557,0,0,4
235,c_662463_235,66,F,40,5,1,67245,5,51000,3,16245,1,2,10
779,c_586632,46,F,23,3,1,45247,2,30000,3,15247,0,1,7
58,c_317868,37,M,1,5,1,56277,4,46000,2,10277,2,0,10
584,c_520839,49,M,1,4,1,52000,4,52000,0,0,0,1,9
177,c_875456,71,M,23,2,0,57000,5,57000,0,0,4,0,4
176,c_609386,61,M,40,5,0,45000,3,45000,0,0,1,1,7
721,c_605725,59,M,1,4,-1,28000,1,28000,0,0,0,0,7
436,c_412282,16,F,27,5,-1,32193,1,26000,1,6193,0,1,8
253,c_242960,19,F,1,3,0,79773,5,63000,3,16773,1,3,6
